answer	question
"well it certainly sounds like you're doing all the right things to avoid high blood pressure. i salute you! and i want to add: keep doing all those things. our blood pressure tends to fluctuate a little during the day. this is normal. so if you're taking your bp at home and discovering these fluctuations you may not have hypertension at all. granted 140/90 is considered the ""hypertension threshold "" but it's usually concerning only if your pressure is sustained at that level or higher all the time. if for example your blood pressure measures 140/90 immediately after you've been exercising that would be considered a pretty normal finding. everyone's blood pressure rises during exercise -- that's part of the point of exercising to get your heart pumping. to your question however many conditions can cause hypertension. kidney problems definitely rank high on the list. adrenal gland tumors also can be the culprit. but i caution you not to jump to any conclusions. the truth is even seemingly healthy people like yourself can develop high blood pressure and we don't know exactly why. this is called ""essential hypertension. "" although it's more common in people with a family history of high blood pressure anyone can wind up with it. if you're concerned about your blood pressure your best bet is to see your medical provider. he or she is in the best position to assess your condition and determine if you have hypertension or not and if so whether or not it needs to be treated. meanwhile keep up the great work! you're an inspiration to the rest of us."	what other medical conditions cause high blood pressure? . i am 66 years old female and do not take any medications. i am not overweight. i workout 1 hour 3 days a week. i do not have a family history of high blood presure. i do not smoke or drink. i eat healthy meals and do not overuse salt. i am not under stress. up until this year my bp was 100/60 now it ranges from 100/60 to 140/90. what other medical conditions can cause bp problems?
in very small quantities bacon isn't bad for your diet. but it might increase your risk of heart disease stroke and cancer. first 68% of bacon's calories come from fat almost half of which is saturated. each ounce of bacon contributes 30 milligrams of cholesterol. bacon is also a processed meat which is not considered safe to eat according to the american institute for cancer research. (processed meat is usually red meat preserved via smoking curing or salting that contains nitrates a carcinogen. ) regular consumption of processed meats may lead to higher risk for prostate cancer and several other cancers. if you have to eat bacon one ounce should be enough. even with the highest-fat type of bacon one ounce adds up to 140 calories (the same as one cup of low-fat milk or two small slices of whole wheat bread). choose a slightly leaner type such as oscar mayer center cut smokehouse thick sliced and one ounce adds up to 105 calories and 7. 5 grams of fat. don't make bacon a daily indulgence. when you do treat yourself keep the serving size small and include antioxidant-rich fruits or vegetables in the meal whenever possible.	can bacon be part of a healthy diet?
it depends on where you are in the country and whether you are doing half a leg or full leg but it can be as little as $300 or $400 up to $500 or $600 per treatment. but when you average that out over the cost of what it would be to have the area waxed or razors and shaving and all the trouble that goes along with that oftentimes that can be a very cost effective procedure to do.	how much does each treatment cost?
herpes zoster can definitely come back but i am concerned about the accuracy of your diagnosis so i would strongly suggest that you see a dermatologist for an expert second opinion before just taking the medications again.	can shingles flare back up once you finish antiviral medications. i was diagnosed with shingles on my scalp on sept. 27 2015. i was prescribed famciclovir 500 mg 3x daily. i just finished the medication on oct. 2 2015 and i have noticed that there seems to be new areas on my scalp that are beginning to itch and new blisters when scratched - brings me out of my skin so to speak. could another dose of famciclovir be helpful? or needed.
these are signs of reduced lung capacities. you need to get spirometry done to see for any loss of functional capacity of the lung tissues. if you are a smoker you should quit smoking and concentrate more on breathing exercises especially deep inspiration	I wake myself up at night, I feel myself pausing on my breath then breathing again
you may be suffering from a combination of acne and seborrheic dermatitis (sd). typically sd sufferers will have flaky skin around the nose and hairline in combination with dry patches. there is usually an underlying fungal component (with sd) that can be treated with an antifungal cream and/or shampoo. flare-ups can be controlled with over-the-counter corticosteroids. once this component is under control your acne will be easier to treat. your acne prevention regimen should include an antimicrobial facial wash that contains benzoyl peroxide acid or alpha-hydroxy acid a mild exfoliating agent and salicylic acid to help clear your clogged pores.	i'm 48 years old and i have adult acne. also the skin around my nose flakes. what can i do about these two issues?
hi my opinion remove the bandage pressure (compression ) is only used to slow healing to avoid scar tissue formation but removing bandage allow faster healing good luck	I sliced the corner tip of my index finger off?
having difficulty being pregnancy at a time of your life may be an indicator of pcos or other disorder in your hormones that needs to be treated and managed properly. calm down do not worry. the doctor will only do an ultra sound to know what is going on inside and then a simple medication will be prescribed … are you overweight?	We have been trying to have a baby for over 2 years now and nothing is happening?
i've cut my metformin to a 5oo mg in the morning and 500 mg at night. i feel so much better. i felt over medicated with 2000 mg a day. i've lost some weight so when you lose weight you need to have your metformin lowered. i woke up a couple days ago and my blood sugar was 65. i thought i was going to die. it scared me horribly. i keep orange juice in the frig just in case. my dizziness has gotten better since my metformin was lowered. i was diagnosed with diabetes 5 months ago so i'm new at this. i'm learning how to eat right. diabetes is to be take seriously if you don't take care of yourself you can go down hill fast. i feel better when i get out and walk. my name is debra.	my wife has type 2 she is experiencing nasuea and dizzness. she takes metformin 1000mg twice a day. sees md. whats up? . thank you my wife debra has dizzness while in bed usually at night when she turns over and nasuea when sitting on couch. she has seven rods in her back from a car accident. i think the dizzness comes from the gabentain that she took once then quit for her back. she sees dr. burk. could she take 1000mg off or is the metformin causing this?
"first make sure you are seeing a physician who specializes in gout management such as a rheumatologist. there are medications to treat the inflammation associated with gout flares. there are also medications that exist to treat the underlying metabolic condition called hyperuricimia which is too much uric acid in the blood. dietary management of gout is limited but important to help control the buildup of uric acid in the blood. a low-purine diet is often recommended for people with gout. laura rall phd nutrition researcher at tufts university in boston says ""begin by eliminating foods in the 'high-purine' category while reducing your intake of foods in the 'moderate-purine' category. if you don't have gout attacks after trying this you may add more foods from the 'moderate' category or occasionally try a food from the 'high' category. using these guidelines you may be able to determine a safe level of purine consumption and enjoy some of your favorite foods without experiencing attacks. "" foods considered high in purine content include all types of alcoholic beverages; some fish seafood and shellfish such as anchovies sardines herring mussels codfish scallops trout and haddock; and certain meats such as bacon turkey veal venison and organ meats like liver. foods considered moderate in purine content include meats such as beef chicken duck pork and crab lobster oysters and shrimp; and vegetables and beans such as asparagus kidney beans lentils lima beans mushrooms and spinach."	what foods do you know of that can trigger gout attacks?
"you could not shave. by going au natural for a while you will probably heal these ingrown hairs. many people who shave will get this condition called ""folliculitis"" and the best solution is not to shave. if you must shave then use a new clean razor each time. use an anti-bacterial soap or a get a prescription antibacterial solution/lotion to use on the area after you shave."	everytime i shavei get ingrown hairs/boils in my vaginal area. how do i treat and prevent?
creating strong sleep habits — for you and for your child — is not just an important goal it’s an achievable one. there are several simple practical steps you can take to help your entire family get the nightly good rest they need. keep in mind these basic new-parent strategies for protecting your sleep and your relationship. share the workload: rotating feedings at night trading off chores — when both partners are involved in family work everyone gets a break. know yourselves: pay attention to your own natural inclinations when it comes to sleep. the night-owl of the two of you is probably better suited for the midnight feeding than the early bird. one-on-one time: it can be tempting to put every moment of attention to your baby especially new moms. nurturing your marriage is important too. find time every day to connect with your spouse. to help your child develop strong sleep skills start early with these basic habits: slow things down: as bedtime approaches quiet the activity level in the house. television music and high-octane running around can be replaced with reading and quiet play as you prepare for your child’s bedtime ritual. bath bed repeat: create a bedtime routine that you can follow nightly. maybe it’s bath then pjs followed by a book and a back rub. your child’s routine should be quiet soothing and enjoyable for you both. set that bedtime: once you’ve picked a bedtime for your child stick with it. toddlers ages 1-3 should be sleeping from 12-14 hours a night. (the national sleep foundation has recommendations for sleep amounts for children from infancy to adolescence. ) whatever time you pick remember — consistency is the key. don’t skip the naps: skimping on naps won’t make babies more apt to sleep. also it’s best to put your child when she’s sleepy not exhausted or actually asleep. this way she’s better able to develop self-soothing techniques that will help her fall asleep on her own.	what can i do to help my baby sleep better at night and keep my marriage strong?
hi. hashimotos is not a confirmation of getting cardiac issues or heart issues. with proper management of hashimotos you can very much lead a healthy and symptomfree life. so my suggestion is to first of all stop worrying take proper medications and a healthy diet. do moderate workout daily and undergo yearly checkups to reconfirm your wellness. hope this helps. regards.	I have hashimotos.  Am i going to have heart problems within few years?
you can get pregnant at any time. take a test.	can you become pregnant 3 days before your period? . i had unprotected sex on the 4th and received my period on the 7th. lately i've been very tired and my breasts are really sore. i took a early detection pregnancy test two weeks after possible conception (18th) it was negative. i've been very stressed lately. can i chalk my symptoms up to stress? or could i still be pregnant?
i know when i had strep throat every thing burnes and i could not swallow at all. water burned the worst to. popsicles and pudding was the easiest on my throat	i have strep throat but when i put anything in my mouth even water it burns. is that normal with strep? . i was told i have a relatively severe case of strep throat when i went to the er yesterday. over the last 3 days i've been unable to drink or eat because my tonsils have been so swollen it's been too painful to try to swallow. now that i received a steroid shot and started taking antibiotics my tonsils have started to shrink but i'm faced with a new problem. my whole mouth burns terribly when i try to put anything in it even water. it feels like i'm missing a layer of tissue. is that normal?
"then go to alanon for help. i am not sure how much help a ""walk-in"" clinic will provide to you. they certainly cannot provide the ongoing care and support that you may need to stop your drug use. doctor do not call the police when someone discloses illegal drug use. they cannot force you into rehab but this could be something they may suggest based on your usage and state of health. conversations between dr and patient are confidential and protected. telling your doctor that you may have a substance abuse problem and asking for help will most likely result in the suggestion and encouragement to enter rehab; however your doctor cannot force you to go. although in most cases cocaine abuse does not require detox most individuals who use cocaine also have other substance abuse including alcohol prescription painkillers and illicit drugs. in this case medical detox treatment can help them remove all the toxic chemicals related to their substance abuse from their body. after substance abuse detox treatment most people benefit from going through a rehab program or participating in behavioral therapy. substance abuse is more than a surface activity and usually stems from some deeper issue. a rehab program or counseling service will be able to help the individual get to the bottom of their cocaine use and help them resolve the issues. groups such as 12- step groups and other non-traditional non-12 step programs offer support within the community. these programs offer suggestions and explanations on how to avoid relapse. gallus detox center is a private inpatient medical detox facility that specializes in iv therapy medical detox. if you have questions about our facility or detox method please call us at 855-338-6929."	if i go to a dr and tell them i need to quit cocaine cold turkey will they call cops or force me into rehab or something. i just realized i let coke take over and went hard in the paint over the last 3 days. i need to quit no tapering just be done. but i know it will hurt in many different ways. if i go to a walk-in clinic or a dr will they call the cops or force me into rehab or something like that becausei cannot have either of those happen.
"not really. many people have lower than average body temperatures. the temp ""98. 6"" is considered average but there are many variations throughout the day. the morning temperature is the lowest. assuming that you are healthy and well this lower temperature is not considered medically significant."	my body temp is consistantly 95. 6. is this something i should look into further?
hi do you mean 71/2 weeks pregnant you cant be pregnant till you have missed your period and been tested. good luck	i am 3 1/2 weeks pregnant what should my hcg level be?
if your health care provider recommends gaining more weight during pregnancy here are some suggestions: eat five to six small frequent meals every day. keep quick easy snacks on hand such as nuts raisins cheese and crackers dried fruit and ice cream/yogurt. spread peanut butter on toast crackers apples bananas or celery. one tablespoon of creamy peanut butter will provide about 100 calories and seven grams of protein. add nonfat powdered milk to foods such as mashed potatoes scrambled eggs and hot cereal. add condiments to your meal such as butter or margarine cream cheese gravy sour cream and cheese.	what should i do if i need to gain more weight during my pregnancy?
there could be a number of things causing this. sometimes women just have really light periods it's normal for this to happen occasionally. light brown blood just means it's been held in the body longer and so isn't as fresh. it could be perimenopause that isn't uncommon and can happen for a few years before true menopause. it could be caused by stress hormonal shifts or any number of other factors. i think a pregnancy is pretty unlikely with the tube-tying you described.	i am a 44yr old female. had my tubes tied burned and clipped. but in january my period was very light 4 days light brown
a trigger is a factor that can set off a migraine in people who are predisposed to migraines. some common triggers include emotional stress sensitivity to specific chemicals and preservatives in foods caffeine changing weather conditions changes in female hormones tension excessive fatigue skipped meals or changes in normal sleep patterns.	what is a trigger for migraines?
hi this seems to be related to an underlying cranial issue. u need to see a neurologist to rule out cranial nerve affection especially optic nerve. thanks	I have slightly blurred vision,  numbness in hands and legs?
i recommend you to consult a physiotherapist this is one of their specialities beside what was the drug that u have used?	I have “man boobs” do I need surgery or is there a drug that can help?
medical marijuana would be your best bet. i too am a type 1 diabetic who at the moment is undergoing unexplained liver problems. marijuana is by far the safest of the three. asprin can eat a whole in your stomach as well as mess with your blood pressure. alcohol is the worst option as it will raise your blood sugars damage your kidneys and your liver aggravating your condition. i would also avoid tylenol as it messes with your liver pretty bad too. but make sure you check your sugars often when using cannabis as it can cause your blood sugar to drop. (keep some munchies nearby and you'll be fine)	im a dieabetic with bad liver would like wich is less dammageing asprin alcahol or med marajuana. i have back problems and hepatitis c i need some thing for pain but don't want to further damage my liver i'm about to lose my medical
it will show up as an amphetamine.	vyvanse urine test what will it show up as?
tinnitus does not cause the face to droop but bells palsy can. the same virus that may have caused your tinnitus/ringing could be the same virus that is now cause some nerve problems in those facial muscles. many times this is a herpes simplex virus. i suggest that you see your medical provider right away about this droopy face since there are medications that can help.	does ringing in the ear cause the face to droop on one side? . im basically healthy and had ringing in the ear about 2 yrs ago due to a viral infection from a cold. i had a sore throat on the same side i took lipo-flavonoid and afte time the ringing stopped. i made the mistake and stopped taking it and receintly the ringing came back. several days later the same side of my face drooped. i am able to blink both eyes. some watering occurs from that eye if wind hits it.
yes. the vaccine does not prevent an infection from every strain of rotavirus; just the more common ones.	can you get rotavirus if you have had the immunization
yes having a period is normal. while some women do not have their menses when breastfeeding it is still normal to have one.	i am breastfeeding my 1 month old. i was told that i won't have a period but i have one. is this normal?
hi yes relapse is possible so first do a tb test then ask the doctor to put her on 4-drug regimen to make sure she is cured this time let’s hope it is just common cold good luck	My mother underwent Tuberculosis (TB) treatment, now started getting fever is it incomplete cure or relapse of TB?
"baby : congratulations! your baby is now officially called a ""fetus. "" it looks a little like a medium shrimp measuring 1. 25 to 1. 68 inches from crown to rump and weighing a little less than two-tenths of an ounce. you might be reassured to know that most physical malformations when they occur have occurred by the end of this week so the most critical part of your baby's development is safely behind you. but other developmental processes such as those affecting behavior and intelligence will continue throughout pregnancy. eyes are covered by skin that will eventually split to form eyelids. mom-to-be : you still probably don't show but you may be wearing looser clothes. you may even be starting to eye maternity clothes although you probably still don't need them. you may continue to feel tired and moody but take heart: these symptoms shouldn't last too much longer. tip of the week : if you're going to have chorionic villus sampling (cvs) a prenatal test used to detect genetic defects such as tay-sachs sickle cell anemia most types of cystic fibrosis and down syndrome it will probably be scheduled between now and 12 weeks."	what can i expect during week 10 of my pregnancy?
hi is his methicillin-resistant staphylococcus aureus a skin infection? the incubation period can be from 1 day to 10 days tests can be done depending on this patient infected system good luck	I was in contact with a Methicillin-resistant Staphylococcus aureus (MRSA) patient?
overdose with this vaccine is highly unlikely. if overdose is suspected contact a poison control center or emergency room immediately. us residents can call the us national poison hotline at 1-800-222-1222. canada residents can call a provincial poison control center.	what should i do if i suspect an overdose of cervarix vaccine (pf)?
surgery is not used to treat mild or moderate symptoms of lupus (systemic lupus erythematosus or sle). surgery may be considered for people with lupus who have permanent life-threatening kidney damage. a kidney transplant or kidney dialysis may be done instead of continuing long-term treatment with high doses of medications that have serious side effects. if kidney disease from lupus does not respond to high-dose corticosteroids and other immunosuppressive medications kidney dialysis or transplant are reasonable options. for unknown reasons overall lupus disease activity is often less severe during dialysis and after kidney transplant. webmd medical reference from healthwise this information is not intended to replace the advice of a doctor. healthwise disclaims any liability for the decisions you make based on this information. © 1995-2011 healthwise incorporated. healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated.	what surgery options do i have for lupus systemic lupus erythematosus?
doctors aren’t sure but they believe that certain individuals have immune systems that are more able to fight off the viruses and prevent warts from growing. also just as some people are more likely to get poison ivy the genetic makeups and immune systems of certain individuals make them more susceptible to the viruses that cause skin warts. it is also common to see warts on multiple siblings in the same family. and children of people who had skin warts as children are often quite susceptible to skin warts themselves says robert brodell md a dermatologist in warren ohio. still experts have yet to determine exactly what is different in the immune systems of people who get skin warts frequently.	why do some people get a lot of warts and others don’t?
"female jock itch (tinea cruris) would not be high on my list based on your brief question. i suspect she has folliculitis - an infection of the hair follicles common in those who shave their pubic area -- a fad that is now all the rage in the teen and young adult crowd. public hair tends to be coarse or curly prone to ""ingrown hairs"" but a relative dull razor can cause numerous micro-cuts that can become easily infection. she is more likely to have a bacterial component than fungus. since this in this much pain a call to her medical provider may get a prescription for an oral antibiotic or at least a potent antibiotic cream stronger than the over-the-counter. a first-hand examination may be required so prepare her. no no to a razor! tell her to use a trimmer. they have pretty ones for women!"	my daughter 16 has female jock-ich then she shaved her pubic area and the bumps are horrible. shes in so much pain shes. using anti-fungle cream and triple antibiotic cream and shes using a heating pad for the pain. please help! . thank you . worried mother
you need to see your medical provider so you can have this skin lesion properly examined. many skin conditions will mimic an ingrown hair. it may not have been an ingrown hair at all but a sebaceous cyst (oil gland) or other common penile skin lesions. if your penis is important to you and i know that it is get it checked out. use a penis health creme called man1 man oil. it is made just for the penis skin and both treats and prevents all sorts of issues down there like rashes bumps spots dryness chafing etc. it's real good stuff. it is antibacterial as well so it will definitely help if you have some sort of an infection down there. you can get it online. good luck.	i had an ingrown hair on the shaft of my penis i got it out but its not really healing what can i do to help it. its been about 2 months ive stopped any kind of sexual activity
hi. this isnt normal. yes i agree. but in some children it takes time for their biological cycles to cope up. this happens for around 1 year of age. as the baby grows older. it will start getting good naps in night. do consult a pediatrician if its persistent. thanks	Question: Baby wakes up 5 times per night …not normal
celiac disease (also known as celiac sprue or gluten-sensitive enteropathy) is a digestive and autoimmune disorder that results in damage to the lining of the small intestine when foods with gluten are eaten. glutens are a form of protein found in some grains. the damage to the intestine makes it hard for the body to absorb nutrients especially fat calcium iron and folate.	what is celiac disease?
"yes in my opinion. taking them out sooner (7-10 days depending on the size and location of the sutures) would reduce the chances of getting a ""rail road track"" scar but if you are not the type of person that scars easily it may not be a big problem. as long as those sutures do not get buried in the skin during those extra days you should be fine. thirteen days may not be ideal but it may be the best you can do. i am guessing but are you traveling and may not be home to get them out eariler?"	is 13 days to long to leave stitches in on my neck after removing inclusion cyst
to relieve the soreness your wife should try the rice method: rest ice the sore areas compress the sore areas with an ace bandage. elevate the sore parts of her body. she may also try taking over-the-counter pain relievers (particularly nsaids) and doing some light stretching exercises. there are many different over-the-counter pain relievers to select. ask your local pharmacist to aid in the selection that best fits your wife’s age and health.	my wife fell. she has bruising on her buttocks and is sore all over. what rub-on pain relief can she use?
losing existing coverage is considered a qualifying event and that allows you to sign up for insurance even if it's outside the open enrollment period.	if you lose your employee health insurance after the dec. 15 deadline can you enroll at any time? . or do you have to wait until another enrollment period comes around?
hi the fracture seems to be united and you need removal of those 3 screws and rod. this will provide much relief from the pain and numbness. numbness can also be due to vitamin b12 deficiency. get its blood levels checked and start on vitamin supplements depending upon the results. thanks	I have three screws and a rod in my leg, hurts really bad?
gastroenteologists	what kind of medical specialist treats hepatitis c?
the ent did not likely cause your tinnitus but that wisdom tooth certainly can do it but a wisdom tooth problem would not be likely to cause your vertigo. temporary tinnitus can be caused by inflammation of the eardrum from the wax impaction however. vertigo and tinnitus are often inner ear problems. an area that cannot be seen by the ent during an exam. cleaning out your ear canal would not get anywhere near the inner ear. many inner ear problems are viral and will resolve on their own in several weeks but there are some innear ear conditions that can last longer. much longer.	i went to an ent. the ent used syringe(metal no spray) to take out some wax i'm wondering if he caused my tinnitus? . i went to an ent. the ent used syringe(metal no spray) to take out some wax i'm wondering if he caused my tinnitus? . also can a wisdom tooth coming in the wrong direction be the cause to my vertigo? it seems to get worse with salt and my hearing was normal.
that would depend on the name of the pain killer. both men and women have equal chances of getting adverse side effects of medications.	what are the side effects make by pain killer tablets in women?
"drug interactions may change how your medications work or increase your risk for serious side effects. this document does not contain all possible drug interactions. keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. do not start stop or change the dosage of any medicines without your doctor's approval. some products that may interact with this drug include: cidofovir corticosteroids (such as prednisone) high blood pressure drugs (including ace inhibitors such as captopril lisinopril and angiotensin ii receptor blockers such as losartan valsartan). this medication may increase the risk of bleeding when taken with other drugs that also may cause bleeding. examples include anti-platelet drugs such as clopidogrel ""blood thinners"" such as dabigatran/enoxaparin/warfarin among others. check all prescription and nonprescription medicine labels carefully since many medications contain pain relievers/fever reducers (including aspirin nsaids such as celecoxib ketorolac or naproxen). these drugs are similar to ibuprofen and may increase your risk of side effects if taken together. however if your doctor has directed you to take low-dose aspirin for heart attack or stroke prevention (usually at dosages of 81-325 milligrams a day) you should continue taking the aspirin unless your doctor instructs you otherwise. daily use of ibuprofen may decrease aspirin's ability to prevent heart attack/stroke. talk to your doctor about using a different medication (such as acetaminophen) to treat pain/fever. if you must take ibuprofen talk to your doctor about possibly taking immediate-release aspirin (not enteric-coated/ec) while taking ibuprofen. take ibuprofen at least 8 hours before or at least 30 minutes after your aspirin dose. do not increase your daily dose of aspirin or change the way you take aspirin/other medications without your doctor's approval."	does ibuprofen m interact with any other medications?
these are mostly liver function tests and there can be many reasons/causes. since i do not know your medical history you will need to have your doctor correlate these results with a medical provider that knows your medical history and can examine you. <link>	i have been tested for ast alt ggt during routine blood tests. all three test had high results. why?
yes. it would be ok to take tussin dm for your cough while taking bupropion and a high blood pressure medication. there are no significant drug interactions to worry about. always check with your pharmacist before taking over-the-counter medications when you are taking prescription medications so they can recommend the best product for you that will not interact with your medications.	i am a diabetic and have a chest cold. can i take diabetic tussin dm along with wellbutrin and high blood pressure meds?
well there's honestly no way to tell without having a physical examination. however common sense would say a more likely cause of abdominal pain would be constipation not pancreatitis. constipation is much more common. chances are if you had pancreatitis you would know it. you probably would go to the emergency room since acute pancreatitis not only is very painful but usually causes nausea vomiting and a fever. if you have upper abdominal pain that doesn't go away and is accompanied by other symptoms (like fever and vomiting) your best bet is not to try to self-diagnose. go to an urgent care for a diagnosis. wishing you well!	is it constipation or pancreatitis
anyone with a severe allergy to eggs or egg products should not get a flu shot. other people who should not get a flu shot include: infants under 6 months old. anyone who has had a severe reaction to a past flu shot or nasal spray. people with moderate to severe illness with a fever; they should be vaccinated after they have recovered. someone with guillain-barre syndrome.	are there some people who should not get a seasonal flu vaccination?
i had poison oak on my face over a month ago. haven't been in contact with it pets or the items i wore and yet it is on my face again (not as serious as the first time but bad). first time i received a cortisone shot which helped over a two week period. this time my doctor put me on methylprednisoone and within 12 hours the itching has stopped. the swelling appears to be better and i hope my face goes back to normal soon. i believe that it has stayed in my body and returns when you are in a stressful situation. i did find the first time that if you made a paste of baking soda and water and put it on the affected area it does reduce the itching (supposedly draws the toxins out too).	can poison ivy rash return same place after 2 months? . rash returned same places on arms after 2 months since had first rash. . haven't been any where near any plants no pets to come in contact with poison ivy. any one ever hear of this happening?
patients are usually diagnosed by their clinical appearance. clinically blisters that are painful usually on the hands feet and mouth in a child with fever are considered diagnostic of coxsackie virus infection. however in rare instances viral tests can be done to identify the virus but the tests are expensive usually need to be sent to a specialized viral diagnostic laboratory and often take about two weeks to get a result. this testing is almost never done since most infections are self-limited and typically mild.	how are coxsackie virus infections diagnosed?
"scabies is caused by mites that burrow under your skin. one of the main symptoms of scabies is an itchy rash. scabies requires medical treatment. you need to take medication to kill the mites that cause the rash. while you're not likely to die from repeated scabies infections you can develop a bacterial skin infection as a complication. any bacterial infection can become severe if left untreated. so in an extreme case you could theoretically become seriously ill from a bacterial skin infection that arises as a result of scabies. also there's a certain type of scabies that can infest people with a weakened immune system (such as hiv). these scabies called "" crusted scabies "" can cause massive breakouts. the risk of complications from crusted scabies may be higher simply due to the much larger infestation. hope this helps!"	hi can scabies kill or really make you sick if you have had them a long time? . hi can scabies kill or really make you sick if you have had them a long time?
