answer	question
vitamins do not cause weight loss but you do have to maintain adequate vitamins when you are dieting. caloric restriction/dieting (and calorie expenditure/exercise) is what causes weight loss.	are there any specific vitamins that i can take to help with weight loss
the symptoms you have mentioned here are indicating towards a migraine headache. however no diagnostic test can surely rule out a migraine. its diagnosis is mainly based on the symptoms. in a migraine there is no definite pain and pain occurs at any time. some people say that a migraine usually occurs on one side of the head and is accompanied by nausea and vomiting but this is not true in all cases. the pain can be all over the head and other symptoms might be present or absent. i suggest you try doing the following. wear sunglasses cover your head with a scarf and use an umbrella whenever you go out in the sun. before going outside always drink one glass of water it will keep you hydrated and will help you. you can take sandalwood oil and massage your scalp a night before washing your hair. avoid excessive intake of tea coffee and caffeinated drinks. some foods also increase the problem of headaches so avoid those. avoid using perfumes deodorant sprays etc. as strong smell may exaggerate the problem. avoid stress anxiety and loud noises. follow a particular sleep pattern i mean try to sleep daily around the same time. if possible try to avoid mobile television laptop etc. an hour before sleep as these emit blue light which hinders normal sleep pattern and also promotes headaches. pranayam is helpful in headaches. so if you can spare 5 to 10 minutes then practice it daily. in medications i suggest you try taking the following. consult your specialist doctor discuss with him or her and start taking the medicines after their consent. pathyadi kwath 15 to 20 ml with an equal amount of water twice a day for six weeks. godanti bhasma 250 mg with water twice a day for four to six weeks. it is an ayurvedic painkiller. shir shuladi vajra ras two tablets twice a day with water for four to six weeks. this ayurvedic medicine is also a painkiller and is used in headaches of various etiology. if you find it tedious to take multiple medicines then you can take only one of these two painkillers or can take two of them for one month. kamdudha ras 250 mg twice a day with water for four to six weeks. it will help in cooling you down internally. take anu taila and put one drop of this oil in each nostril once a day for one month. take powder of sandalwood camphor and jatamansi and. mix all in equal amount and add water or rose water and apply this paste on the forehead while you have a headache. take one teaspoon of coriander powder and add it in one cup of water and keep it for a night. drink it early in the morning on an empty stomach. if you are taking allopathic medicine then take above medicine along with that after consulting your physician. however for a migraine there is no curative treatment. it can only be avoided with the help of medicines and lifestyle changes and sometimes the headache may not disturb you for so long and sometimes may trouble you often so follow a healthy way of life. also stop these medicines during your periods. you can start them after the period gets over. i hope you are satisfied with my answer. for further queries consult an ayurveda specialist online --> <link>	Hello doctor,I get headaches, especially when I wash my hair or when I go out in the sun. The climate is really hot here, and I stay indoors. But, I still get headaches, and my nose also pains a bit. I cannot stop washing my hair because of this. Please help.
olive oil is a fat and like any fat contains about 100 calories per tablespoon. so keep in mind: olive oil is just as caloric as other fats and can contribute to weight gain if consumed in high amounts. olive oil does contain heart-healthy fats which are associated with lower blood cholesterol levels. but you can't just pour olive oil all over an otherwise unhealthy diet and expect your cholesterol levels to suddenly go down. making dietary changes to control your cholesterol levels is a twofold process. first increase the amount of fiber in your diet such as the fiber found in oatmeal fruits and vegetables. second decrease the amount of animal fats and saturated fats you consume such as the fats found in butter whole milk cream sausage bacon and heavily marbled cuts of beef. exercise is also good for your heart health and cardiovascular function. but you have to address any issues with your diet. i suggest using olive oil-based cooking sprays to sauté your vegetables as well as using olive oil as a salad dressing base. canola oil is a good choice as well.	i want to know if adding olive oil to my diet could help lower my cholesterol.
yes. the vaccine does not prevent an infection from every strain of rotavirus; just the more common ones.	can you get rotavirus if you have had the immunization
you will need to see a medical provider or a psychiatrist so that you can be properly assessed. there are many prescription medications that can help you.	i have extream anxity and panic. i cant control it and it's making me crazy. what can i do?
just have sex with your wife. while she can only become pregnant a few days per month when she is ovulating (usually mid-cycle a week or so after she stops her menstrual period) having sex often is really your best bet for right now and allow nature to do the rest. humans are designed to procreate. assuming you and your wife are healthy and capable of having children pregnancy will happen but perhaps not during your precious timeline.	i am getting married on 1st nov 2015. i want to have child so how can i approach for sex? . actually i stays in abroad and i have 45 days holiday so i want to take advantage of this and want to planned as such that within those given days i wnt 2 make my wife pregnant bcoz i usually gets holidays after 1 yrs. so please guide me what should i do and do not?
no. you would be trying to replace on addiction with another. allow your medical provider to help you.	can you use vicodin to help ease alcohol withdrawl
for a temporary change the obvious answer is to use a commercial lip plumper and see how it goes. more and more cosmetics companies are bringing out lip plumpers some already tinted some not. lip plumpers can be surprisingly effective; in a few cases users not only get strikingly fuller lips but the results last up to eight hours as well. to be honest though the effects of most lip plumpers rarely last more than an hour especially if users eat or drink. most lip plumpers use an irritant such as cinnamon wintergreen or ginger that causes enough of a reaction to make the lips swell and look temporarily fuller. some of them especially those with higher concentrations of cinnamon and wintergreen can really make the lips burn sometimes quite painfully. and that burning sensation applies not only to the woman who used a plumper on her lips but to anybody she kisses as well. if your significant other is allergic i’d stay away from these plumpers; obviously people with sensitive skin should also avoid them because they may get a whole lot more than they bargained for. never use lip plumpers on cracked lips or on cold sores because the pain can be excruciating. less irritating plumpers are those with retinol or oligopeptides both of which stimulate collagen production. the advantage to these plumpers is that with repeated use lips will not only look fuller but smoother and less wrinkled. a warning: retinol increases sun sensitivity. i recommend that lip plumpers with retinol be used only at night. for a longer-lasting look you’d have to go with fillers usually hyaluronic acid fillers; my two favorites are prevelle silk and juvederm. in my experience prevelle silk gives a more subtle look while juvederm lasts longer. these lip fillers cost $750- $1000 and last three to four months. some people just want to define their lips so they get a tiny amount of filler injected all around the lip border; their lips stand out more but without added volume. this technique is especially popular with women over forty because the lip border becomes less distinct with age. i would never ever recommend more permanent procedures such as silicone injections or lip implants. with silicone injections problems such as lumps and irregular or asymmetrical lips are actually pretty common and lip implants frequently look artificial. think before you get lip fillers. if you want to see how you would look with fuller lips then try lip plumpers first and see if you like the way you look. when buying a lip plumper or any other beauty product try to read and decipher the ingredients contained in the product in order to see how the plumping or moisturising will occur. also remember that most lip plumpers will eventually result in drying of the lips as most of the plumping ingredients act as an irritant to the lips therefore resulting in the plumping. these products typically work by irritating the thin delicate skin of the lips with ingredients like menthol or camphor. this makes the lips swell slightly which may also diminish the appearance of fine lines in that area. lip filler procedures provide immediate results that should last for up to six months after which time you may need a top-up to maintain the volume. initially there will be some swelling and sometimes bruising in the lip area from the injections. this should quickly subside to reveal your full and plump lips. some of the most common side effects of collagen lip injections are instances where lips swell or bruise after treatment. there can also be bruising around the sides of the mouth depending on the material that is used and the method of injection as well as how the body handles the foreign material. some patients can be allergic to some aspects of collagen lip injections and that can cause excessive swelling or related side effects it’s generally not a good idea to ignore the warning signs of complications from this process which could cause a patient long-term harm. consult a doctor before selecting one of these treatments to talk about lip injections or lip plumpers and what kinds of potential side effects may result.	i want larger-looking lips. should i go with a lip plumper or filler?
hi this seems to be related to an underlying cranial issue. u need to see a neurologist to rule out cranial nerve affection especially optic nerve. thanks	I have slightly blurred vision,  numbness in hands and legs?
always if you cannot get the temperture down your self then you do need to go to the er and see what they can do	my 8 year old has had a fever for 2 days and now her fever is up to 103. 7 should i go to a doctor? . she hasnt had much for symptoms. maybe a little upset tummy the first day and a little headache now. it seemed that her fever was going down last night but i took it again this morning and its up a lot. before the highest temp was 102. 4. im just worried about her and wondering if making an appointment with a doctorwould help. thanks!
hi no stay at home get well would you like to know somebody had been coughing over your food before you eat it come on stay home get well. good luck	i've had a uncontrollable cough for days with fever 99 a sore throat i work with food. cough all day should i go to work
dental benefits are an essential health benefit for kids ages 19 and younger.	"what is the age of ""children"" guaranteed dental insurance under the law?"
unfortunately most cancers of the esophagus are detected too late to be treated effectively. by the time cancer-related symptoms of chest pain weight loss and progressive difficulty in swallowing (dysphagia) lead to the diagnosis the cancer has already spread beyond the esophagus to other organs. indeed there is evidence that survival is markedly improved in cancers detected during the course of surveillance for dysplasia or cancer in barrett's esophagus as compared with survival in cancers detected after cancer symptoms prompted medical attention. therefore physicians want to make the diagnosis of barrett's in gerd patients and then begin surveillance for cancer in such patients. the problem however as mentioned previously is that only 5% of all patients with adenocarcinomas of the esophagus or cardia have had an endoscopy to show that they have barrett's esophagus. thus the challenge is to identify those gerd patients who have barrett's by screening patients with chronic gerd. yet sufficient research has not been done to establish guidelines for selecting which patients with gerd should be screened by endoscopy. for now until more data becomes available it seems reasonable that if a patient with gerd cannot be taken off acid-suppressing drugs after two to three years (because of persistent symptoms) an endoscopy should be done to see if barrett's esophagus is present. one endoscopy per lifetime in patients with gerd may be sufficient to screen for barrett's.	why is it important to screen patients with gerd to diagnose barrett's esophagus?
now. penicillin never works for tonsil stones. the problem is that your tonsils have holes/crypts in them that trap food and other debris. gargling after every meal will limit the accumulation of debris or you can take a moistened q-tip (or your finger) and physicallyl dislodge them. they will come back again however. the only definitive cure is to remove the tonsils if you and your ent can convince the insurance company that this is medically-necessary.	when should i see a throat specialist when the tonsil stones wont go away and the penisillin doesnt work? . no fever hurts bad when swallowing red sore throat. tried to knock off the white things on tonsils and ovula as the urgent care dr said to try. been on penicillin since tuesday feb. 5th. no better as of yet. when do you think i should see a throat specialist?
currently there is no generic for premarin. if the co-pay is too expensive check with your insurance to see if they have another preferred product. then consult your health care professional.	is there a generic for premarin?
hyperpigmentation discoloration or post-inflammatory hyperpigmentation (pih) on your skin can be attributed to a variety of disorders. i like to begin with excluding any medical reasons that may result in hyperpigmentation. hyperpigmentation may be attributed to renal disease diabetes or peripheral vascular disease. pih arises from an acquired excess of pigment related to an inflammatory process such as infection an allergic reaction a reaction to medication or a trauma. pih often occurs as a consequence of inflammatory skin disorders including acne drug-induced eruptions and eczema. once you have excluded medical causes there are multiple options to regain your even skin tone. a combination of glycolic acid aha and tretinoin-based products -- along with a traditional topical skin care regimen -- will work for skin brightening. hydroquinone-based products work well. however there are other alternatives such as bearberry kojic acid licorice extract and niacin. these compounds will work towards brightening your skin and correcting your skin tone. the key is to work with a physician that is very familiar with your skin type and color because incorrect use of these agents can lead to further hypo- or hyperpigmentation. i tell my african-american patients in particular that in order to get your skin in shape it has to be a gradual process similar to exercising. you would not attempt to lift 250 lbs on the first day of your workout; this attempt may lead to injuring yourself and disastrous results. the same holds true with your skin regimen a gradual approach is always best. once you get your melanocytes in shape and under control you can improve your skin tone.	what can i do about the dark circles under my eyes?
hi look the best thing you could do is get yourself to an std/gum clinic and get yourself tested. you do have a couple of things that do match up. best advice. good luck	hiv exposure or over worrying? . i've never had actual sextried once but it never went all the way inused a condom ofcourse. did oral on my boyfriend without. only madeout and kissed guys after i broke up with my boyfriend. i've had white things in my tonsils that come and go. smell bad i've also been having anxiety and been worrying been losing weighthe last time i had a sexual was back on october of last year. didnt freak out till recently. i was eating normally before but ever since its made me eat less. hiv exposure
absolutely. shingles can occur many times in the same place but not always at the same intensity or severity. yes yes my aunt had them more then one time. yes yes	if you had shingles once can you have another breakout again?
hi kaka sorry did mean to get back to you 24 hours ago but look just find a really good doctor one who cares for you and your not just a number this is the doctor you really do need ask your friends who they think is the best one to see doctors know but just asking the right questions and a hands on thing all this before they do a urine test. hope this helps you. good luck	period like symptoms no period? or could i be pregnant. hi i've had for the last week. slight cramping on and off. sore breasts. milky white discharge over a week. period is 6 days late. it does feel like my period is coming but nothing. have had unprotected sex with partner. and have done test at 5 days late but negative
it's difficult to say exactly why your wife isn't losing weight without more information but here are some things to consider: how is she tracking her calories? it is possible that she is getting more than she thinks she is. seeing a registered dietitian can help her examine her food intake for hidden calories. high levels of activity mixed with low calorie intake may increase cortisol (levels stress hormone) and cause weight to stay where it is. this is a theory but i have seen it many times. your wife can experiment with cutting back the exercise or increasing her calorie intake. unless she's enjoying the exercise it likely isn't sustainable so i suggest she focused on doing something she enjoys. if your wife did not exercise at all before it is possible she is gaining some muscle mass and losing fat even the scale isn't moving. other factors can cause weight to plateau such as stress and lack of sleep. see this webmd article for more ideas. weight loss -- and especially weight loss maintenance -- can be a challenging task. i suggest your wife get help and support with the process. the key is to address the reasons for the weight gain in addition to tackling food and exercise.	my wife weighs 242lbs she only eats about 1500 calories a day and excercises. why can't she lose weight? . . my wife is 5ft 4inches tall weighs 242lbs and is a size 14-16 in pants sizes. she only eats about 1500 calories a day and exercises about 90+ minutes a day burning 800-1200 calories. she has been doing this for about 2 months and hasn't lost any weight. she has been diagnosed with ibs. she also has be test for hypothyroids and was negative. . .
studies show that at six months after giving birth moms who got less than six hours of sleep per night had more difficulty losing weight than moms who slept more than six hours. . getting rest is important for you to be able to focus on eating healthy and find time to be physically active. do everything you can to get enough sleep and try not to be a superwoman until you've got your energy back because weight control takes a lot of energy.	does lack of sleep affect weight loss after pregnancy?
severe poison ivy is often treated with prescription oral steroids like prednisone so his doctor may need to give him more than this very minor treatment he is receiving now.	my husband has poison ivey on both arms pretty badly. his left hand is very swollen. dr visit? treating w/ hct1%& ben. c. i am concerned about the swelling he doesn't feel he needs to seethe dr. but i do. he can still make a fist but not easily.
"yes. this is called ""referred ear pain"". because of the nerve pathway a dental problem can cause pain to be felt in the ear. yes"	can a toothache cause your ear to hurt. i know someone who ear has been hurting for about 3 days. he is in severe pain. he also has a tooth that has probably decayed. could the actual problem with the ear stem from the tooth?
medical researchers aren't sure exactly how stress increases the risk of heart disease. stress itself might be a risk factor or it could be that high levels of stress make other risk factors (such as high cholesterol or high blood pressure) worse. for example if you are under stress your blood pressure goes up you may overeat you may exercise less and you may be more likely to smoke. if stress itself is a risk factor for heart disease it could be because chronic stress exposes your body to unhealthy persistently elevated levels of stress hormones like adrenaline and cortisol. studies also link stress to changes in the way blood clots which increases the risk of heart attack.	how does stress contribute to heart disease?
yea sound like you have a yeast infection id go get checked out girl	why does my vagina itch and have a yellowish discharge it burn when i pee or have sex. for over the past month i have been itching like crazy in and around my vagina. it also burns when i pee or have sex. i have taken a pill for a yeast infection and have use the cream for it put it didn't go away. there is also a discharge and pressure when i have to pee. i have used a triple antibiotic cream that helps around the outside of my vagina. and the itching comes and goes
they can but it isn't as likely that they will. lice like to live in clean oil free hair. since african american's usually have more oil in their hair it isn't as inviting of an environment for the lice to live in.	can african american people get lice?
unfortunately without the ability to actually see this skin eruption that you are describing it would be very difficult if not impossible to blindly offer an accurate diagnosis. a diagnosis is really essential when it comes to treatment. knowing your medical history will also help solve this mystery rash. based solely on your description this could be an allergic reaction perhaps urticaria (hives). hives are intensely itchy comes on suddenly and if the allergen is still in your midst it can continue to persist/spread. regardless of the cause (which can be very challenging to find) the itchiness can be treated with an antihistamine like diphenhydramine (benadryl) or other over-the-counter medications in this class. seeing a medical provider is important since many things can mimic hives. this sounds like pitariasis rosea. which usually spreads to the trunk of the body. bathe in selson blue it could be from a plant or some kind of poison oak that you wern't aware of may be in your yard? some body's house or being out in the woods you have the same thing almost like i have going on with me. but mine is on my right inner thigh itchy raised dry rash. i'm just using over the counter anti-itch cream good luck.	i have a skin rash that looks like ringworm but isn't. its red and very itchy and spreading everywhere. what can i do? . my breakout started with one bump on my thigh then a day later there were two on my upper body. then all of a sudden the next week my whole upper body was covered in red raised and itchy bumps. i am into my second week with this and it is spreading to my face all over my arms and moving down my legs. i am not in pain but it is hard to deal with being itchy everywhere. i don't have any other symptoms. if there was a way to know what i have? just anything to help thank you.
hellono i haven’t been vomiting nor i had diarrhea just very uncomfortable stomach and stiff muscles all over neck specially.	I have a stiff neck a stomach that doesn’t digest and swollen eyes?
hi first lets get your meds sorted out by going to your doctor with a list of what your taken and why just to see if there's any overlap no way should you be getting this problem if your meds are right. as for getting diarrhoea that bad it well do this to your body it drags the body down you do need to replace liquids so drink plenty of water see your chemist about rehydration powders these will help you. hope this helps you. good luck ps if you want to? spend time cross matching your meds for reactions see what that throw's up. sorry for the pun.	why do i get so ill when i get diarrhea. hello i take a lot of medications which cause me to be constipated so every so often i get terrible diarrhea. when this happens i get sick to my stomach to the point that i think that i am going to throw up and or pass out my body feels like it is on fire and i sweat so bad that my entire body is sopping wet the sweat is so bad it can almost form a puddle on the floor from my face. can you please tell me what is happening to my body at this time. thank you dana
chemical pneumonia? i would need to know a bit more about this odd diagnosis or the chemical that caused it but but basically pneumonia is not contagious. some organisms that can cause pneumonia like a virus or bacteria can be contagious but exposure to this virus or bacteria will not necessarily cause pneumonia in someone else. they could just end up with a cold.	my brother has been diagnosed with chemical pneumonia. can this be passed on to another person? . he is concerned that there may be a possibility that his two children might contract the disease.
hi look not much to go on but this must go back to before you were 12 something happened then. look its your call but i think you are in need of a therapist your need to go through it with him/her its would be a good place to start. good luck	since i was 12 i've been contact sensitive to water. the pain is immense and i never got it checked out. should i? . i'm 21 now and it's still ongoing. anytime i take a shower get in a pool go into a lake go into a stream or even sweat. my skin feels like it's on fire. its a deep pain mainly in my legs but everywhere. it can leave me immobilized for a couple of hours at most. nothing shows up on my skin no rashes no legions nothing. which is why i know it's deep. depending on what water contact i have the time it starts differs. if i shower it's immediate if im in a pool it happens when i get out
hi. i had a similar experience when i was pregnant with my daughter. i went to the hospital for cramping/lower back pain. they saw the yolk sac but no baby or heart beat. i went to my ob/gyn 2 weeks later and they said that the fetus won't have a heartbeat until the 8-9 week mark. and by then movement may also be seen. needless to say my daughter is now 6 months old and very healthy! don't worry. i am sure your baby is fine! congratulations!	is it normal to not see a heart beat or movement on an ultrasound around the 6-7 week mark?
hi the second feeling your getting could be that you want to squirt or to female ejaculate yes you females can do that but unlike men its a clear fluid so next time your having sex put a towel under you and after you have urinated the next feeling just let yourself go you may enjoy it. but your first feeling could be from him hitting you bladder and you may also be getting some g spot stimulation as well. good luck	when having sex i feel the need to pee i get up and go but still feel the pressure that i have to go. when having sex i feel the need to go pee i get up to go and it feels better but about 10 mins later i feel the need to go again. even when i am not having sex and i go to the bathroom it does not hurt or burn to pee but i still feel the pressure of having to go. i have googled this and have only gotten as far as his penis is big and is hitting the bladder wall and making me have the sensation to pee. this has just never happened to me before and we have been together for about 2 months now.
unfortunately you can. genital herpes can end up on your mouth through oral sex for instance. and it is possible for this to happen even when you do not have active lesions. this is the chance that you will both need to take if this was your underlying concern. you have most likely seen many people with cold sores/or fever blisters. these are typically type 1 herpes lesions but you can get type 2 lesions (genital types) on your mouth. with that said you are both actively producing antibodies to suppress the genital outbreaks. theoretically this should limit the spread to other areas but not totally eliminate the possibility. the fact that you both have herpes not at least solves part of the problem. if one of you has active lesions i am sure that sexual activity would not be high on your to-do list at least until you are better. are you both taking suppression drugs? these are daily anti-herpes medicines you can take to limit recurrent outbreaks.	herpes transmission somewhat complicated question. i have genital herpes but no outbreaks after the initial one. my partner got it from me and has genital outbreaks. we're wondering if we're able to spread it to each other in areas where we haven't had outbreaks during shedding (not active outbreak). seems obvious that we could spread it around while there are lesions so we're careful during her outbreaks. but the big mystery is . can we spread it to new areas during shedding. . ? . thanks a million. we've been searching hard for the answer. .
hi. the 1st finding is due to the previous stroke that she had and its expected. 2nd finding is an old age change that usually occurs in all elderly people at her age. its not as if her brain is shutting down. give her prescribed medicines regularly. she will be fine. dont worry	Question: My mother has brain damage, doctors have two different opinions?
if you have heart failure and any unusual symptoms do not wait until your next appointment to discuss them with your doctor. call your doctor immediately if you have: unexplained weight gain -- two pounds in one day or five pounds in one week. swelling in your ankles feet legs or abdomen that has become worse. shortness of breath that has become worse or occurs more often especially if you wake up short of breath. a feeling of fullness (bloating) in your stomach with a loss of appetite or nausea. extreme fatigue or decreased ability to complete daily activities. a respiratory (lung) infection or a cough that has become worse. fast heart rate (above 100 beats per minute or as directed by your doctor). new irregular heartbeat. chest pain or discomfort during activity that is relieved with rest. difficulty breathing during regular activities or at rest. changes in sleep patterns including difficulty sleeping or feeling the need to sleep a lot more than usual. decreased urination. restlessness confusion. constant dizziness or lightheadedness. nausea or poor appetite.	what heart failure symptoms warrant a call to my doctor?
not as long as you are drinking plenty of water/fluids to go along with them.	can eating chia seeds and flaxseed in the same meal dehydrate you?
palliative care and hospice care often are mentioned in the same sentence as if they are the same thing. they are not but they do share certain characteristics. hospice is care for people at the end of their lives and their families. hospice care encompasses physical emotional and spiritual support. it is not offered only to the dying person but to the entire family as well. hospice care is not about prolonging life; it is about providing comfort care and measures designed to enhance the dying person's quality of life. and this is the point where hospice and palliative care overlap. palliative care too is about maximizing a person's quality of life. however palliative care is not just for patients with limited life expectancy. any person with a serious illness or chronic medical condition may benefit from palliative care. palliative care takes a holistic approach to addressing pain--physical and/or emotional--and other issues of comfort. for example a palliative physician might order special skin creams to minimize the pain and tissue irritation from radiation therapy for cancer. palliative team members may include specially trained physicians nurses psychotherapists social workers physical therapist occupational therapists nursing assistants and others. this team focuses treatment on the patient but also offers support to family members. i hope this helps!	compare palliative with hospice care
i do have this symptoms occasionally with some serious pain in my gums and then it disappears i consulted my doctor about this and he told me to that it could result from the medication i was taken to threat the sinus ailment. thanks.	can sinus infection cause swollen gums?
the classic one -- prune juice.	what fruit juice acts as a laxative?
"strategies for fighting diabetes are pretty much the same as the strategies for fighting diabetic kidney disease. doctors and patients try to keep the blood sugar levels and blood pressure levels in excellent control because high glucose and/or blood pressure can accelerate the damage. an eating and exercise strategy designed to reverse the diabetes as much as possible is a top priority for slowing the kidney damage. this would involve losing as much excess body fat as possible and keeping your muscles heart and lungs in shape via cardio and resistance exercise. there are many good eating strategies. avoiding excess starch sugar and animal fat are the top priorities in my view. avoiding excess salt and protein may also slow the kidney disease. . a good way to follow the kidney disease progression or slowing is via the urine protein levels as well as the ""glomerular filtration rate"" (gfr) test."	i am a type 2 diabetic and my kidneys are in the beginning stages of breakdown. how can i slow that process?
most helpful answer it is not the removal of the prostate but more of a roto-rooter if the prostate. while the patient is under anesthesia a cystoscope is inserted in the urethra to the prostate. using a laser or other special device the prostate tissue is literally shaved off to increase the size of the lumen.	what is a turp. i was told yesterday by a cardiologist that a turp is the removal of the prostate. i know that's not accurate. can you explain why he thought that?
when you first start your exercise program you should plan a routine that is easy to follow and maintain. when you start feeling comfortable with your routine then you can start varying your exercise times and activities. here are some tips to help you get started: choose an activity you enjoy. exercising should be fun. put your exercise routine into your schedule. if you need reminding put it on your calendar. variety is the spice of life. make sure you vary your exercises so that you don't get bored. check your local gymnasium or community center for an assortment of exercise programs. don't let exercise programs break the bank. unless you are going to be using them regularly avoid buying health club memberships or expensive equipment. stick with it. if you exercise regularly it will soon become part of your lifestyle and will help reduce your depression. exercise can be a very effective way to help treat or manage depression. to begin find something that you enjoy and start out slow. it’s important to set realistic goals and expectations too so that you’re not setting yourself up for disappointment or failure. developing a good consistent exercise routine takes time so don’t overwhelm yourself by trying to do too much too soon. above all else don’t be hard on yourself. it’s very common for people to have lapses and setbacks as they begin to establish an exercise routine. learn from your mistakes and try your best to move forward. exercise is meant to be a very relaxing and pleasurable experience that can help ease your symptoms of depression. have fun and enjoy!	what are some tips for getting started exercising if i am depressed?
bipolar i defines patients with the classic form of this disease: recurring episodes of mania and depression. bipolar ii defines those who never experience severe mania but instead the manic episodes are milder and alternate with depression. a third term rapid cycling bipolar disorder defines those patients who experience four or more bipolar episodes within 12 months. this can include multiple episodes within one week or even within one day. this more often occurs later in the disease and is more common among women.	"what is meant by ""bipolar i"" and ""bipolar ii""?"
it is difficult to analyse your situation without a physical examination and a psychiatric complete history. you might definitely benefit by consulting a psychiatrist who can help you properly in dealing with your problems and prescribe you medications if needed.	i need help i drink every night and think that it has something to do with my personal life and the way i deal with things. i used to love my job and the banter now they are making me feel down and worthless. my husband has been doing this for a while now and i really need some help to stop other people making me feel so useless and worthless.
one of the potentials for danger is the manner in which crystal meth is used. individuals heat the drug and inhale the toxic fumes. these fumes affect the dopamine in brain which is released when the body experiences pleasure. crystal meth triggers that reaction which in turn produces more dopamine. over a long period of time the brain may suffer trauma from increased drug abuse which could lead to memory loss and emotional instability. studies by the international journal of drug policy have indicated that individuals who used crystal meth in large amounts even for very brief amounts of time experienced panic attacks paranoia violent behavior as well as irregular heart rate and chest pains. many individuals who abuse or are addicted to crystal meth often times result to illicit behavior in order to support their drug habit - which is not the best environment for children to be part of. as caretakers of children the best course of action is for the parents to stop using drugs and seek professional help. gallus detox centers is a private inpatient detox facility that specializes in iv therapy medical detox. if you have questions about our facility or detox method please call us at 855-338-6929.	what effects does meth have on children when the parents smoke it around them im the grand father
