label	text_a
0	Fitzgerald's detective novel. It's between the ages and the generations of culture. It's a really unpleasant reading experience.
1	Grim.
1	I don't understand.
1	I don't care if it's out of date or not.
0	Three.
0	There is no good difference between traditional goods such as books and music, and traditional goods such as pots and pans. The former will also be a world of Winner-take-all.
0	Unfortunately, I didn't finish this book. Maybe it's not my taste.
0	It's been a long time since the Ring was supposed to be six points.
1	"""The freedom to be granted only when it is known in advance of the good that freedom can bring, cannot be called freedom."""
0	Why don't you try the readers first?
1	Let's get in there and get to the basics of video photography.
0	I don't care how it's written, it's a good one, and then it's a cliché.
0	Any cat or dog can publish a book.
1	I don't like it any more.
1	Go back and go back.
1	Good book.
0	Looks like Dad's bookshelf. Hey, you've been watching novels all night long.
0	It's all bullshit!
1	"""People think it's good, but they don't like it."""
0	There's a bit of chatter.
0	It's nice to be young.
0	Sneak down your ass.
1	It's interesting to watch Podria talk about movies, isn't that what you've never seen?
1	Israel's entrepreneurial climate is beyond Chinese comprehension.
0	It's a garbage novel.
1	The bulk of the selections were excellent, especially before the new media era, when almost every work was excellent. The best impressions were by the Wondermen, the Tunnels, the Lonely Space Disk and the Penitential Joker IV. The Penitent Joker built a short anti-Utopia, while the Chevalier turned back on the beautiful, new world-style anti-Utopia, and the Space Discreet was a sort of extra-civilistic space romanticism (comparable with the Dark Forest Theory). There were a few pieces of the new era that were a little weaker, but they were also good overall, such as travelers, and one that was constantly loop's, which had the world's absurd, meaningless, existential tone (though at the end of the story had been reversed in an infamous way with the Orientian Curtain); and King Martin's sand, which, as in the past, had the shadow of the death of all the fire from behind it.
1	It's all funny.
0	I don't know, I can't understand.
1	The first half is a classic story about movie identity, film language, and the second half about story types and styles is out of date.
1	"It's really a big part of the healing system, looking at it this week, and it's gone. It's a good story, it's full of people, it's not like the soap opera that's in ""Agatha"" is suddenly slaged, it's a lot worse than Agatha. At the end of the day, Hung is dead, Jotai's dead, it's sad."
1	I remember hearing that my teachers at the School of Economics were divided into two parties and thought they were working in the field, but they only learned about the struggle between political and Western economics. The joke, read in a book, was that there was a real difference between politics and the West.
0	I see nothing but despair and ignorance, beyond my comprehension.
0	Seeing a piece of garbage that no one wants to clean is eternal?
0	It's not mine.
0	The Korean war was rife with a “patriotic” interpretation. The post-Gazpa Party was uncircumcised, probably because of commercial factors.
0	That's Popper.
0	Almost all of the comments were sent on November 8, suspected of being painted by the Navy. They could have been given to Samsung, but they could have been balanced by a star. The content itself could have been used as a copy. But many of the names had been translated differently, especially when the images explained that the names in the text were not in line with each other, the reading experience was bad, and they were not recommended for purchase. (Additional: 2 December 2016: the publisher has contacted me to apologize, to be honest and to correct the errors, and I think it is possible to give an opportunity to interested friends to see a new version after the error has been corrected.)
0	It's a bad translation.
1	The relationship between Gen-Jing and Choi-Jing has finally made real progress, and the reasons for Choi's earlier actions have come to light in order to find out where he is. Choi-Jing is willing to give up his life for the sake of hiding from Him, but he was shot twice and died.
0	It's the living people who want to see, but it's only the false gods.
0	Hanson's writing is a rat's shit, and he's in the Navy. He's got a wrong name!
0	It turns out how important the cover and review of the book is. It's too bloody.
0	The book should be made into a game or a movie, rather than a novel. The owner's tour of the United States of America is free to pass through a strange upgrade; there are perverts of the size and size of Boss, and the biggest Boss are still alive, and the blood trinkets are two or three times the previous. So it can be a game. The view of slavery and freedom, which looks like the extraordinary country of the Mirrors, is big, and a little bit of black humor is occasionally inserted into it, so that the author will make a film with a model. Most important, the third view is still good, reflecting America's core values, and the Oscar for the good will not be able to reject it. However, as a novel, there is a lack of depth.
0	Information materials within the Central Asia Association
0	Word drugs.
0	The plot is normal, the script is normal. Not recommended.
0	What's the recommended word on the waist?...The whole novel is a playbook, and it's a little disappointed.
1	As-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s.
1	It's Jiu and the director's sincere introduction.
1	He was born of grief and died of joy.
0	I don't know why so many people recommend it.
0	The only highlight of this book is Pushkin's poem.
0	It can be said that it's rubbish, it's nothing, it's completely unreadable, and anyone can publish a book these days...
0	The two masters of Ozawa-soo and Xianqin are excellent in writing H, but the structure and circumstances of the ups and downs of the ups and downs of the day................................................................................................................................................................................................................
1	It's simple, it's too hard.
0	Copy that.
0	It's not very nice.
0	Translation negative rolls.
0	It's very aggressive. It's very simple. The Bean Pants are not lying to me.
0	Last week, the airport used to go to the bookstore. It was Chen Quan and Han Xian who recommended it. It happened to be a trip. Two pages were turned, and the Left Master's drawings were still so easy. They reread it while he was in a hotel. They fell in love with President Han's logic and life experience. They didn't mean that you could make it out of the two monuments. They needed to feel the culture.
1	The book gives a very profound and detailed account and analysis of why China is urbanizing, why it is urbanizing along with industrialization, how it is urbanizing its population and how it is urbanizing its land.
1	From the perspective of the film industry, there is no human background to the scientific fiction of cold and hard school.
1	The city is a container that melts into the whole ecology.
1	After reading the book that was noted in order to write an article, I wanted to thank the article for the opportunity it gave me.
0	It's a bad translation.
0	It's just like in the old flower stream south wind, of course, that's a lot of names. I can't read this story five years or seven years ago, just for a little girl who has an illusion about love. So it's pretty general. It just uses Tibet as a vehicle to attract people. It's very fine. It's a good picture.
1	This post is part of our special coverage Egypt Protests 2011.
0	For those who think it's a good book, I have a deep sense that we're not reading the same book or not in the same space.
0	It's been a long week, and on a Sunday night, when you want to watch the bl at home at night on your summer vacation, you've got a million words in your head.
1	I'll read it. I'll hide it.
1	The last 100 pages of tears have not stopped... and it is strange that the latest tears have been destroyed.
0	Almost one day, hearing chapter 11, and then trying to pull the author out and boil it. That's the low-class novel of the low-recreation era, and it hasn't been written yet.
0	P & O
0	Mary Sue's textbook.
0	The skin is love in a dusty world and the bone is love out of the world.
0	It's hard not to be Luthor.
0	Train readings, Kindle 0.99. Very boring. Men and women act like lunatics without logic.
1	I'd like to see the English version...
0	It's for beginners. The Central West is easier to stack or hold.
1	There is no soul, so there is no need to look back.
1	Be professional, not always emotional.
0	The choice of time on the plane, though somewhat disappointing. Although Mr. Dan Brown is more mature and older in creating tension and advancing a multi-line scenario, the story has no soul — even if he finally moves out of the path of God as a man — and is not able to impress my heart, giving me the impulse to take deep breaths.
0	Textbooks for secondary school students
1	Let's go to class.
0	I don't know why we're split into two!
0	The story is so bland. How can a man who used to be so heartless make you hurt so easily and let you go? Too fake.
1	Come on, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go.
1	The Cope Internet cleanup mileage.
1	Does it take so much to watch a movie? Of course I spent money. You gotta let me find a reason to pay.
0	A bit of a failure.
1	We've only seen the latter chapters at L's house.
0	Network novels
0	I can't watch twice.
0	It doesn't feel so good. The author is still in the prime of his life, with a lot of generalizations and a lot of sticky sentences; and he is ashamed to write in dialects, not sufficiently dynamic, and not as far as vision is concerned. It's not really literature, it's a very well-written diary.
0	Wait for my uncle to love you.
1	Unfortunately, it's amazing that history is always written by the victors, while the weak tend to take advantage of moral highness and compassion.
0	It's a bad end...
1	One third can't watch it anymore...it's a good book.
0	Nine times in the night.
0	"Two-and-a-half stars, the big ice is starting to get me a little tired of beauty. The tops of chicken soup are all about ""I have a great friend."""
0	It's sour.
1	Wells is a big mouth.
1	It's an interesting autobiography. The 1900-year-old man walked through the 80th century, and the turmoil of the world was reflected in his film.
1	This is the fastest book I've ever seen, and every detail is real. I'm sure I'll see it again.
1	A lot of old ideas are worth thinking and thinking about. It's half-reading. There's a great deal of agreement on the conclusions of old money. For six months, I've been watching the students study, reading the book and reading it intermittently, and I've finally finished reading it. I've never been afraid of making books.
1	That's great! That's good. That's good.
0	It's a story that's written in nearly a million words, and I suspect life again.
0	The title is better than the content...
0	If you don't have it, it's ugly.
1	Change of things, keep your heart moving. Turn of events, stay the same.
0	Central to the Middle East is a description of the history of the world. It's a bit far-fetched. China is a soy sauce player. The translator doesn't like it.
1	I'm reading this January 2009 edition, as I always liked it, but why don't you ask your sister, does ISBN want to change it when you reprint it? If it doesn't change, give me a message. How can I pass a note when the same standard number comes out?
0	"The theme for the Five Stars, the combination of disaster, politics, and human love, is just a feeling that the Hong Kong play ""Don't be a Hong Kongman in the Next Life"" and the ""Rounds"" are the context, but, like the hot reviews, ""Let the author write a Story Club,"" and the author was a party journalist, and he only sings praises, and I didn't feel the pain and struggle of people in the great port of escape at all."
0	I can't read this type of tourism book, and it doesn't make much sense when I'm forced to read it. But there's still a lot of information about some of it.
0	Water map loan.
1	Dad's flowers are falling.
1	After reading almost all the works that were Xi Yu and reading the book, there's still something to be gained, like a lot of movies, like miracles that were meant to be coy.
0	It's as bad that you don't go to the Chinese Department as Aunt Chun Ji doesn't broadcast the news.
1	Israel
1	It's a good word. It's a good word.
0	It's not just my heart. It's not my heart. It's my heart.
1	There's a kind of life that makes movies, like Abbas.
0	Why do these novels always have to be remembered as having a back-up character like Chang An and Green Too Blood?
0	I don't know what this is all about.
1	Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.
1	It's supposed to be the middle two books Hesse ever wrote.
0	A copy of the dog.
1	Dream world, wonder life, change, love, conceit.
0	The old court-run political struggle (for the prince and the king's face) is quite unsuitable.
1	It's Rusty's favorite novel.
1	If it's not fiction, it's fascinating.
0	Seriously, don't mention cx. Do you really think this pen can go on?
1	At any time in your life, anyone who has the idea of a civil servant in politics should take a look at the book and see what happens to someone who has more than one human being, and who has less than one. When you return home, you should recommend to my father and ask for my life.
0	It's a terrible thing to read about a young arts book like this.
1	Marketization has broken down, the household registration system and the current land system have hindered China's development
0	Maestro doesn't think anyone can keep up.
0	One of the things that the PPT can say is that it's a book, and it's so watery. And it's soupy. In the face of a crisis like the grey rhinoceros, it's best to raise awareness and avoid a crisis.
0	I can't help but be deeply worried about the future of humanity, not because of the warming of the climate, but because some of the experts who published it.
1	Let's hope one day we can read the original English version. We can't read 5555 now.
1	Everyone in their struggle is the same.
1	At last, it took a lot of time to read it, because it was a little more obscure at first. I'm sure the author must be Pagan, because theory used in it was all 20 cs, Lacon, psychiatric.
0	Even after reading it, it really sucks.
0	It's a little light and heavy.
1	No sex is sexy enough. You can feel it, it's even more interesting.
0	The book is not long, it can be finished in two hours. The story is full, but it is not well described, the revenge of the father and the mistrust between the two, and it becomes insignificant after the divorce. It is important to focus on the self-protection of the woman's masters, who do not believe in men because they are weak, and so do the fear. The choice depends on what they want.
1	The core idea is: Uncle Liu's heart is weak, Wei Wu Emperor's hero. After all, the Han Books are full of nonsense, and the triads are full of condescensions... I read too little and I was deceived.
0	It's white enough.
1	The expectation for this book comes more from the trust in the author's writing, which is a text that brings history to life. It feels like it's based on that belief that serious historical facts are viewed in a distance. The world is already so cruel, why not so lightly.
1	I read it at the Trade Library.
1	The new edition is better than this one.
0	By contrast, the man who left Hong Kong this evening is a perfect, pure angel. The book's three-faced.
0	It's not mine.
1	Books are good books.
1	Justice beats evil. It's a faith.
0	I can't do that. I don't know much about capital, I see it in the clouds. Before I was the boss in the industry, I wanted a piece, but the situation was no longer under everyone's control.
0	I don't want this to be my last book of yours.
0	It's not a lot to read. It's a dog's blood. It's not surprising that you're so handsome and handsome, but you're here to pick up young stars and kidnap them. It's not a commercial show.
0	A few better than the sad coffee shop song. It's the most famous one, the translation face I hate most.
1	Life is precious.
1	Psst.
0	Translator sucks. It's the same story.
0	I can't read it at all.
1	Hsiao-hyun's film is a gift to this age. From his film, we can see ourselves, see the times, and be closer to the world. Reading Sea-Boiling Time makes me love Hsiao-hyun even more, and, as he reads, fills up all the movies he did not see before. It's a wonderful journey to find himself and then to understand himself better.
0	It's a general saliva book. Thinking of the Four-Old Books before, it's too much to do.
1	The year '07 marked 'I want to read', when Hiromi turned it all over and liked the sequence of Goo-mi's writing, just to explain what he wanted to say in the back of the memory photo, he said:
1	The plot was interesting, and the character of the male and female masters was encouraging.
0	This one's a little rough...
1	Failure, more than success can see.
1	One word.
0	It's basically a 25-27 review. You have to get a little bit of memory on the same day.
0	It's pure black for this motherfucker.
1	It's super fun.
0	I hate conspiracy theory and unrealistic analysis. Negative.
0	What the hell?
1	The book is controversial.
1	One of the most commonly mentioned words is “synthetic error.” Monetary policy is the most effective regulatory tool at the inflation stage, but when there is deflation, monetary policy is rendered ineffective and policy stimuli are required.
0	There's no reek.
0	He's exaggerated.
0	Boring
0	It's a book like this.
1	Perhaps, in the knowledge of Hollywood, people have been stuck on the surface, which makes us yearning for, and the light that it brings out, may be blistering behind them.
1	It's a consistent and non-continuous little story that tells us there's always a way out of China.
1	It's very neat. I think it was bought in the city's monsoon, and now it's gone.
1	"Unlike ordinary movie reviews, every article is used to talk about life in a few movies. Words are simple and warm and imaginative. The end of the article ""The Smell of Autumn Swordfish"": the taste of bitterness, the taste of cheapness, the taste of drink, the taste of life."
1	Listen.
1	It's hard for people to escape the era. It's like a famous book. It's not as thick as it looks.
1	Everything that's lost will be recovered.
1	Sheets
1	There's a girl in there called Herb.
0	Feels like there's no fear for nature, sometimes we're called the “strong country”, glass... the book seems to be particularly evident in this hidden sense of inferiority... whether the giraffe has nothing to do with the shock he himself has... and does not like her sense of superiority!
0	It's ugly. Standard Mary Sue.
1	To be re-read. Especially when you're in love with a movie.
1	Every chapter looks good. It's just too little to hate. But that's it. That's it. It's all there is to be told in a white place. The war came to see Xiaozu's humor and the clarity of fate. Has the war ever affected his shooting? The answer is the positive mud in the mud, the post-war Xiaojin really became the mud in the mud. I've been watching his movies before, and I've known him in the war, and then I've read his words, and I've loved him more than I've ever thought in his heart. 53 movies in my life, The Weeds are 50th, and the last one is the smell of Autumous Fish.
1	It's been two or three months, and it's finally finished. Fine, dark literary works have to be read in order to get into the situation created by the author.
1	Son of a bitch!
0	These horsegirls have no love.
0	Translator's like shit.
1	Israel is indeed a remarkable country, especially compared to the Arab countries around it. But the book could mislead a large part of the population, and Israel’s militarization and defeat, and it must not be overstretched.
1	Wang's book looks at people as if they want to take pictures and likes words like this.
1	Compared to the desktop, no deletions have been found.
0	A book goes up to one-fifth, is flat, is boring, is boring, doesn't find any attractions, is completely fluid, and is abandoned. It is decided not to trust the recommendations of the Internet, because it is not clear which readers are real and which are skin-skinned. In fact, the books are good for marketing. In a small range of fans, they are well rated under filters, and authors and fans look happy.
1	After reading the first article, he was shocked by the fact that his novels were a literal illustration of life on the ground. Bad luck, coldness, numbness, and frustration. In Carver's view of life, he had almost a vision of “bad things are about to happen, bad things always happen” and that bad things happen, no one knows what to do, just drink, or stay on the couch, or that the novel ends, and that's even worse.
1	The first half is in the library at the University of Agio, and the second half is on the Kindle.
0	Seeing 14 nights of books, thinking of those Mary Sues who died at the bottom of their hearts and did not hesitate to read over and over again, there was no hesitation. The authors had the idea to transform the picture, to make it more air, to make it more perfect and to make it more efficient. Yet, either the atmosphere is not enough, or the writing is too late, but it is too obstinate. The value of the losers is also the value of the losers. For 14 nights, the pits they dig themselves are filled with tears. If you look at this again in a few years, there may be some reflection. For me, just let me go and do what I want to be.
1	Odyssey in the white darkness. The highness of human nature, the lowness, the weakness, the stench and the tenacity of the soul, the loss and the pursuit. Instead of getting cold in the back, it moves, because what ends is not despicable evil, but faith, hope, love.
0	13 per cent, in terms of experience in dealing with the economic crisis, economic books, can be loaned when the other party has a stable source of finance and is caught in a run-off.
1	Li An is a role model for every good young man who has a soft meal and a movie dream!
1	I love it. The Taipeis write the old Beijing story. Marriage, women, life, and so much love.
0	E-books///the first half are good friends traveling together.
0	I've got one leg in the pool xxoo? He's got too much halo. But Wang is a good name.
1	Translation negative. Original Five Stars!
1	It's a script guide.
0	He's the president of the alien version.
0	Shut up! Boring!
1	It's solid.
1	It's so fucking hard to read!
1	It is rare to have one of the layouts and the content of the Xinhua Bookshop in Quanshan to buy it.
1	Nervous, wonderful, ups and downs and downs, simplified and beautiful. A delicate description.
1	In the history of the world, China is inclusive, open.
1	It's a little hiking diary, but it's interesting to read, and it's perfect to read it in the middle of the night when you can't sleep and run a train. This linear narrative, the limitless extension of attention, the connection between the sight and the body, is a hiking.
0	I've given up. It's too hard to read. Let's watch the play.
1	I bought it in high school. I went through it a lot.
1	Well, it's better to have a comparison of the original script.
0	It's a good idea to go to the kitchen when you're sad, but I'm a man who hasn't cooked in a hundred years!
1	Jaguar's code is better than the text.
1	“Investment and gambling are, in fact, only one line apart, and that line is very fine and fine, and in fact, the investment is “a gamble of the advantage of the odds”.
0	It's a bad translation.
0	Shoo.
1	"The nymph thought it was better not to have ""The Sky"" but it was still good, four stars."
0	Idiot.
0	Play the book! Play the book! Go to Europe! Bitch!
0	Sci-fi novels should be novels in the end.
0	Not one of the most ugly novels in the world.
0	It's really amateur, and it's getting extreme, but it's good when it's a joke.
0	It doesn't match the publicity.
1	When you're done, you're really dizzy. It's hard to find out that you want to go deep into the kernel of desire just because you want it. Reading, watching movies, playing philosophy, you have to use it to look at your own life, though sometimes it's not worth talking about it.
0	It's full of love.
0	It's very mediocre.
1	English version read
0	It's really ugly.
0	For the year of hastyness, it's like a random story. It's true that the boys and girls in the story are beautiful, rich, and they may have grown up, or lost the feeling of simply appreciating the good story, and they're rarely touched after reading it. This is the one I don't like most in nine-night aphid novels.
1	A lot of good policy advice.
1	The light from another angle.
0	"The author's mood is so strong that there's no merit in it. The more lonely it gets, about two-thirds of it is completely unreadable. The maximum word in the book may be ""man"" or ""woman"" and can imagine the pain of reading."
0	Tell me more about the common sense you know in the second year of junior high.
1	It turns out that will can be freedom beyond humanity.
1	Nice to meet you.
0	Toshino, why don't you go back and write your reasoning?
0	Personally, I think it's a really bad novel.
0	It's much better than a movie, but it's still full of dog blood, and there's a lot of change in style after entry.
0	Words are good, but they're just piled up. The layout's fine, but it's also because the whole story's about the art. It's about the art.
1	1. Not much has been read, because the book has come a long way from the modern economic model, both in time and in form. 2. Endorsement of a country's rapid economic development is closely linked to fewer constraints (and few rules of a small profit group) and more demand. 3. Economics is not a science, but a discipline. 4. The macroeconomic concept of the book makes it difficult for me to go straight.
1	The Western Europe film was picked by the Germans. They had a writer and writer named Karl fork.
0	Tastes like wax.
0	Earlier literature referred to works that could be accepted and loved throughout the world, regardless of race-coloured beliefs, and later, more and more people could only boast of over-interpretation in specific circles, for which I would always be kind - huh.
1	That's right. There's love, there's marriage, there's life and the past.
0	It's a little random for a trip.
1	I couldn't agree more about the relationship between the film and the original. The end of the book was good -- his death wasn't possible, but it was necessary. I think it was really enviable to have it.
1	Expensive.
0	The current account, the diary, the food needed for six months is boring. It's not done, it's not going to be able to see the month of May, it's not going to look better.
0	The clouds are still dead. It's okay. The dogs are bleeding.
0	It's a miracle to have a book like this!
0	I can't even read it anymore.
1	Foughty.
1	The masters choose the readers. Life is a confluence of words, isn't it?
1	I still like him.
0	The translation of this version is hard to swallow.
0	With all due respect, it's nothing. It's over in four hours. It's not as good as his comment on the Chinese voice.
0	The author is too careful to write a novel to be educational, and it turns out it's not the same. That's what's going on. It's a card shop. It's a good idea.
0	I am the Pharaoh of Egypt,
0	I don't know how to write.
1	It's a good writing, though the man's a bit of an asshole.
1	After that, it felt better than the horse, the Xie translation, the English translation and the original text were still to be read.
0	Read a little more about popular readings. The bright spot is the confluence of imagination. The drawback is language, logic, and character. And when the summer of lunch is over, the spring and evening bragging is on fire.
1	That's a good yellow cover, Les.
0	I hate watching the DPD fight.
1	The final chapter is the best.
0	I don't know. I don't like it.
